Sample;Density;ModulusOfElasticity
Mitsubishi Iupilon GSH 2020KR Polycarbonate;1.35;6.1
Mitsubishi Iupilon GSH 2030KR Polycarbonate;1.43;8.7
Mitsubishi Iupilon GSH 2040KR Polycarbonate;1.52;11.0
Mitsubishi Iupilon GSH 2030R2 K807 Polycarbonate;1.43;5.1
Mitsubishi Iupilon GSH 2030R2 991J Polycarbonate;1.43;4.4
Mitsubishi Iupilon GSH 2030FT Polycarbonate;1.43;6.2
Mitsubishi Iupilon GS 2010MN1 Polycarbonate;1.29;4.5
Mitsubishi Iupilon GS 2020MN1 Polycarbonate;1.37;6.5
Mitsubishi Iupilon GSH 2020DF Polycarbonate;1.35;5.7
Mitsubishi Iupilon GSH 2030DF Polycarbonate;1.43;7.3
Mitsubishi Iupilon GSH 2040DF Polycarbonate;1.52;9.3
Mitsubishi Iupilon GSH 2050DF Polycarbonate;1.63;11.6
Mitsubishi Iupilon GPN 2020DF Polycarbonate;1.34;6.2
Mitsubishi Iupilon GPN 2030DF Polycarbonate;1.42;8.2
Mitsubishi Iupilon GPN 2040DF Polycarbonate;1.51;11.0
Mitsubishi Iupilon GPN 2050DF Polycarbonate;1.63;13.5
Mitsubishi Iupilon GPX 2050DF Polycarbonate;1.63;15.0
Mitsubishi Iupilon GSH 2010LR Y082 Polycarbonate;1.27;3.3
Mitsubishi Iupilon GSH 2020TR 9005 Polycarbonate;1.35;5.8
Mitsubishi Iupilon GSH 2010SR 9920A Polycarbonate;1.27;3.4
Mitsubishi Iupilon GSH 2030SR 9920A Polycarbonate;1.43;8.0
Mitsubishi Iupilon GPX 2010PH Polycarbonate;1.26;3.0
Mitsubishi Iupilon GSH 2010PH Polycarbonate;1.26;2.9
Mitsubishi Iupilon CFH 2010 Polycarbonate;1.24;8.0
Mitsubishi Iupilon CFH 2020 Polycarbonate;1.28;14.0
Mitsubishi Iupilon CFH 2030 Polycarbonate;1.31;17.2
Mitsubishi Iupilon CGH 1010R2 Polycarbonate;1.31;7.2
Mitsubishi Iupilon CGH 1020KR Polycarbonate;1.38;13.0
Mitsubishi Iupilon CGH 2010KR Polycarbonate;1.35;17.3
Mitsubishi Iupilon LSH 2020 Polycarbonate;1.26;2.5
Mitsubishi Iupilon ECF 2015R Polycarbonate;1.26;11.5
Mitsubishi Iupilon ECF 2030R Polycarbonate;1.32;17.2
Mitsubishi Iupilon LGH 2330M Polycarbonate;1.55;9.5
Mitsubishi Iupilon LGH 2410M Polycarbonate;1.41;4.1
Mitsubishi Iupilon LCH 2315 Polycarbonate;1.37;10.0
Mitsubishi Iupilon LCH 2410 Polycarbonate;1.37;7.5
Mitsubishi Iupilon MB 2210R PC/ABS;1.13;2.8
Mitsubishi Iupilon MB 2212R PC/ABS;1.12;2.7
Mitsubishi Iupilon MB 2215R PC/ABS;1.13;2.4
Mitsubishi Iupilon MB 8500 PC/ABS;1.19;2.9
Mitsubishi Iupilon MB 8700 PC/ABS;1.2;3.1
Mitsubishi Iupilon MB 8900 PC/ABS;1.2;2.8
Mitsubishi Iupilon TMB 1412 PC/ABS;1.27;4.1
Mitsubishi Iupilon MB 2112 PC/Polyester;1.22;2.1
Mitsubishi Iupilon MB 2112N PC/Polyester;1.31;2.5
Mitsubishi Iupilon GMB 1110 PC/Polyester;1.29;4.4
Mitsubishi Xantar XRM 5010 Polycarbonate;1.25;3.1
Mitsubishi Xantar RX 2121 Polycarbonate;1.34;2.5
Mitsubishi Xantar LDS 3760 Polycarbonate;1.27;2.5
Mitsubishi Xantar LDS 3735 Polycarbonate;1.24;2.2
Mitsubishi Xantar LDS 3724 Polycarbonate;1.23;2.25
Mitsubishi Xantar LDS 3730 Polycarbonate;1.26;2.2
Mitsubishi Xantar LDS 3732 Polycarbonate;1.34;2.4
Mitsubishi Xantar LDS 3722 Polycarbonate;1.29;2.5
Mitsubishi Xantar C RC 3012 Polycarbonate;1.14;2.2
Mitsubishi Xantar C MC 3440 Polycarbonate;1.16;2.7
Mitsubishi Xantar C MC 3650 Polycarbonate;1.1;1.9
Mitsubishi Xantar C CM 526 Polycarbonate;1.21;3.8
Mitsubishi Xantar C CM 546 Polycarbonate;1.29;6.0
Mitsubishi Xantar C CP 200 Polycarbonate;1.1;2.0
Mitsubishi Xantar C CF 447 Polycarbonate;1.34;4.8
Mitsubishi Xantar 17R Polycarbonate;1.01;2.3
MRC Polymers NAXELL PC100H High MFR Polycarbonate;1.21;2.37
Owens Corning Glass Fiber Reinforced Polycarbonate, 10 wt.% glass;1.26;5.2
Opti-Polymers Optiblend PBT-PC Blend GK15 UV PBT-PC, 15% Glass pearls filled;1.45;3.0
Opti-Polymers Optilon PC FR 960 ST RAL 9002 / 9011 ( PC flammfest ) PC flame retardant;1.21;2.3
Opti-Polymers Optilon PC GF20 LF ST black PC, 20% Glass fiber filled;1.31;4.4
Opti-Polymers Optilon PC GF10 ST black PC, 10% Glass fiber filled;1.24;3.6
Opti-Polymers Optilon PC GF15 natural PC, 15% Glass fiber filled;1.26;4.4
Osterman & Co EPIMAX PC-900F Polycarbonate;1.2;2.17
Osterman & Co EPIMAX PC-900FVR Polycarbonate;1.2;2.38
Osterman & Co EPITEC PC-6910F Polycarbonate;1.2;2.14
Ovation Polymers Nima™ NH PC151 Polycarbonate;1.2;1.58
Ovation Polymers RIGITRON 10001 Polycarbonate;1.19;1.85
Ovation Polymers RIGITRON 10020 GF Polycarbonate, 20% Glass Reinforced;1.32;3.6
Ovation Polymers RIGITRON 10030 GF Polycarbonate, 30% Glass Reinforced;1.41;4.4
Ovation Polymers UTTAP ES 10559 Polycarbonate Alloy;1.34;1.75
Ovation Polymers Nemcon™ E PC 08CF Polycarbonate;1.22;5.6
Ovation Polymers Nemcon™ E-CPC/X1 Polycarbonate Alloy;1.26;2.4
Ovation Polymers Nemcon™ E-PC CB Polycarbonate;1.26;2.78
Ovation Polymers Nemcon™ H ES DP110/X3 Polycarbonate Alloy;1.49;3.17
Ovation Polymers Nemcon™ H PC DP105/X3 BK Polycarbonate;1.45;6.9
Ovation Polymers Nemcon™ H PC DP111/X1 Polycarbonate;1.36;3.94
Ovation Polymers Nemcon™ H PC DP113/X5 Polycarbonate;1.56;2.45
Ovation Polymers Nemcon™ H PC DP120/X2 Polycarbonate, Thermally Conductive;1.6;3.1
Ovation Polymers Nemcon™ H PC DP120/X3 BK Polycarbonate, Thermally Conductive, Black;1.48;6.7
Ovation Polymers Nima™ NH PC143P Polycarbonate;1.18;1.6
Poly Alloy XuanWu™ XW4101 PC/PBT;1.2;1.67
PlastiComp Complet LCF30-PC/ABS Polycarbonate/ABS Alloy, 30% Long Carbon Fiber Reinforced;1.29;15.2
Plastics Group Polifil GFPC-10 10% Glass-Reinforced Polycarbonate;1.26;2.86
Plastics Group Polifil GFPC-20 20% Glass-Reinforced Polycarbonate;1.35;5.86
Plastics Group Polifil GFPC-30 30% Glass-Reinforced Polycarbonate;1.43;8.62
Polyram RamLloy PBB503 PC/ABS Alloy, Flame Retardant and Heat Stabilized;1.17;2.7
Polyram RamLloy PZF301G4 PC/PBT Alloy, 20% Glass Fiber;1.4;6.6
Polyram RamTough PZ126 Polycarbonate, Low Viscosity;1.15;2.35
Polyram RamTough PZ303G2 Polycarbonate, 10% Glass Fiber;1.2;2.85
Polyram RamTough PZ304G2 Polycarbonate, 10% Glass Fiber;1.2;2.9
Polyram RamTough PZ305G4 Polycarbonate, 20% Glass Fiber;1.35;4.0
Polyram RamTough PZ307G4 Polycarbonate, 20% Glass Fiber, UV Stabilized;1.35;5.0
Polyram RamTough PZ307G6 Polycarbonate, 30% Glass Fiber, UV Stabilized;1.16;6.5
Polyram RamTough PZ324G4NT Polycarbonate, 20% Glass Fiber, Flame Retardant;1.26;6.0
Polyram RamTough PZ333G2 Polycarbonate, 10% Glass Fiber, Flame Retardant;1.3;3.2
Polyram RamTough RZ300G2 Polycarbonate, 10% Glass Fiber;1.2;3.12
Polyram RamTough RZ320G2 Polycarbonate, 10% Glass Fiber, Flame Retardant;1.28;2.7
Polyram RamTough PZ301R8 Polycarbonate, 40% Carbon Fiber;1.35;19.5
Polyram RamTough PZ320G2 Polycarbonate, 10% Glass Fiber, Flame Retardant;1.28;3.1
Polyram RamTough PZ322G2 Polycarbonate, 10% Glass Fiber;1.21;3.4
Polyram RamLloy PBB702 PC/ABS alloy, UV Stabilized;1.14;1.8
Premix Thermoplastics PRE-ELEC ESD 7200;1.12;1.8
Premix Thermoplastics PRE-ELEC ESD 7300;1.1;1.75
Premix Thermoplastics PRE-ELEC PC 1431;1.24;2.5
Premix Thermoplastics PRE-ELEC PC/ABS 1420;1.14;2.7
Quantum Polycarbonate;1.2;2.24
Quantum Polycarbonate 20% Glass Fiber Filled;1.35;5.93
RTP Company RTP 2599 X 119413 Polycarbonate/ABS Alloy (PC/ABS), Carbon Fiber - Flame Retardant - Halogen Free - ESD Protection;1.23;9.31
RTP Company RTP 399 X 139372 Polycarbonate (PC), Glass Fiber - Flame Retardant;1.42;6.21
RTP Company RTP 300 TFE 10 Polycarbonate (PC), PTFE Lubricated;1.25;2.07
RTP Company RTP 399 X 151424 A Polycarbonate (PC), Graphite Lubricated - Electrically Conductive - Flame Retardant - Preliminary Datasheet;1.33;4.14
RTP Company RTP 300 AR 15 TFE 15 A Polycarbonate (PC), Aramid Fiber - PTFE Lubricated;1.31;3.45
RTP Company RTP 305 TFE 15 A Polycarbonate (PC), Glass Fiber - PTFE Lubricated;1.55;8.96
RTP Company RTP 2599 X 147398 B Polycarbonate/ABS Alloy (PC/ABS), ESD Protection - Permanently Static Dissipative - UV Stabilized - Preliminary Datasheet;1.14;1.72
RTP Company RTP 2599 X 154314 Polycarbonate/ABS Alloy (PC/ABS), ESD Protection - Permanently Static Dissipative - Glass Fiber - Flame Retardant - Preliminary Datasheet;1.53;6.89
RTP Company RTP 399 x 154303 B Polycarbonate (PC), ESD Protection - Permanently Static Dissipative - UV Stabilized - Preliminary Datasheet;1.16;1.52
RTP Company PermaStat 2500 A UV Polycarbonate/ABS Alloy (PC/ABS), ESD Protection - Permanently Anti-static - UV Stabilized;1.15;1.93
RTP Company PermaStat 301 A FR Polycarbonate (PC), ESD Protection - Permanently Anti-static - Glass Fiber - Flame Retardant - Preliminary Datasheet;1.35;3.72
RTP Company PermaStat 305 A TFE 10 FR Polycarbonate (PC), ESD Protection - Permanently Anti-static - Flame Retardant - Glass Fiber - PTFE Lubricated - Preliminary Datasheet;1.55;8.27
Mitsubishi Chemical Advanced Materials Borotron HD050 5% Boron-filled Polyethylene (ASTM Product Data Sheet);1.01;0.767
Mitsubishi Chemical Advanced Materials TIVAR 1000 UHMW-PE, (Natural & Colors except Black) UHMW-PE (ASTM Product Data Sheet);0.93;0.552
Mitsubishi Chemical Advanced Materials TIVAR DS Crosslinked virgin UHMW-PE;0.932;0.655
Mitsubishi Chemical Advanced Materials TIVAR MD UHMW-PE, FDA Metal Detectable (ASTM Product Data Sheet);0.954;0.552
Mitsubishi Chemical Advanced Materials TIVAR ECO UHMW-PE, Recycled (ASTM Product Data Sheet);0.93;0.676
Mitsubishi Chemical Advanced Materials TIVAR ESD Electro Static Dissipative UHMW-PE (ASTM Product Data Sheet);0.94;0.6
Mitsubishi Chemical Advanced Materials TIVAR EC Electrically Conductive UHMW (ASTM Product Data Sheet);0.94;0.696
Mitsubishi Chemical Advanced Materials TIVAR UV Stabilized UHMW-PE, Black (ASTM Product Data Sheet);0.94;0.8
Mitsubishi Chemical Advanced Materials TIVAR UV Stabilized UHMW-PE, Natural & Colored Except Black (ASTM Product Data Sheet);0.93;0.8
Mitsubishi Chemical Advanced Materials TIVAR 88 ESD UHMW-PE, Premium Glass Filled, Crosslinked Electro Static Dissipative Lining Material (ASTM Product Data Sheet);0.945;0.855
Mitsubishi Chemical Advanced Materials TIVAR 88 W/BurnGuard, Flame Retardant Lining Material (ASTM Product Data Sheet);1.0;0.6
Mitsubishi Chemical Advanced Materials TIVAR 88-2 UHMW-PE, Premium Lubricant Filled Lining Material (ASTM Product Data Sheet);0.933;0.669
Mitsubishi Chemical Advanced Materials TIVAR 88 UHMW-PE, Premium Glass Filled, Crosslinked Linings (ASTM Product Data Sheet);0.93;0.421
Mitsubishi Chemical Advanced Materials TIVAR Oil Filled UHMW-PE FDA/USDA (ASTM Product Data Sheet);0.935;0.3
Mitsubishi Chemical Advanced Materials TIVAR H.O.T. UHMW-PE, Premium Heat Stabilized/Anti-Oxidant Filled, (FDA, USDA, & 3-A Dairy) (ASTM Product Data Sheet);0.94;0.5
Mitsubishi Chemical Advanced Materials TIVAR HPV Food Grade UHMW-PE (ASTM Product Data Sheet);0.93;0.386
Mitsubishi Chemical Advanced Materials TIVAR CERAM P UHMW-PE, Premium Microsphere Filled (ASTM Product Data Sheet);0.96;0.572
Mitsubishi Chemical Advanced Materials TIVAR CleanStat™ Electro Static Dissipative UHMW-PE (ASTM Product Data Sheet);0.94;0.648
Mitsubishi Chemical Advanced Materials TIVAR SuperPlus UHMW-PE, Glass-filled Cross-linked & Heat Stabilized Extreme Wear Resistant (ASTM Product Data Sheet);0.96;0.421
Mitsubishi Chemical Advanced Materials TIVAR Polysteel Filled UHMW-PE, High Specific Gravity (ASTM Product Data Sheet);1.45;0.421
Mitsubishi Chemical Advanced Materials Tivar Premium UHMW-PE Crosslinked- Various Colors;0.93;0.896
Mitsubishi Chemical Advanced Materials Armor-X™ and Armor-X™ with Proknob Non-Marring, Elastomer Polymeric Blend (ASTM Product Data Sheet);1.0;0.355
Mitsubishi Chemical Advanced Materials Sanalite HDPE - High Density Polyethylene Cutting Board (FDA, USDA, & NSF) (ASTM Product Data Sheet);0.96;1.38
Mitsubishi Chemical Advanced Materials Proteus LDPE - Low Density Polyethylene (ASTM Product Data Sheet);0.92;0.393
Mitsubishi Chemical Advanced Materials Quicksilver UHMW-PE Premium Truck Lining (ASTM Product Data Sheet);0.93;0.483
Mitsubishi Chemical Advanced Materials Durapro Truck Liners (ASTM Product Data Sheet);0.94;0.565
Mitsubishi Chemical Advanced Materials PE 500 PE-HMW, virgin (ISO Data);0.96;1.3
Mitsubishi Chemical Advanced Materials Cestilene™ HD 500 Polyethylene;0.96;1.35
Mitsubishi Chemical Advanced Materials Cestilene™ HD 1000 Polyethylene;0.93;0.75
Mitsubishi Chemical Advanced Materials Cestilene™ HD 1000 R Polyethylene;0.93;0.95
Mitsubishi Chemical Advanced Materials Cestidur™ Polyethylene;0.93;0.71
Mitsubishi Chemical Advanced Materials Cestlite™ ASTL Polyethylene;0.95;0.77
Aclo Accutech Polyethylene HD0234G10UVL High Density Glass Reinforced UV Stabilized;1.0;2.05
Aclo Accutech Polyethylene HD0234G20UVL High Density Glass Reinforced UV Stabilized;1.07;3.0
Aclo Accutech Polyethylene HD0234G30UVL High Density Glass Reinforced UV Stabilized;1.15;3.7
Aclo Accutech Polyethylene HD0234G40UVL High Density Glass Reinforced UV Stabilized;1.25;4.4
Aclo Accucomp Polyethylene HD0200L High Density;0.95;0.95
Aclo Accucomp Polyethylene HD0202L High Density;0.952;1.0
Aclo Accucomp Polyethylene HD0205L High Density;0.955;1.1
Aclo Accucomp Polyethylene LD0109L Low Density;0.922;0.32
Aclo Accucomp Polyethylene LD0102L Low Density;0.924;0.297
Aclo Accutech Polyethylene HD0204UVL High Density UV Stabilized;0.953;1.0
Aclo Accutech Polyethylene HD0232G20CV High Density Glass Reinforced Chemically Coupled;1.08;2.5
Mocom (ALBIS) PURELL PE 1810 E 93410 LDPE;0.92;0.17
Mocom (ALBIS) PURELL PE 1810 E 99950 LDPE;0.92;0.14
Mocom (ALBIS) PURELL PE 1840 H 950 LDPE;0.93;0.145
Mocom (ALBIS) ALTECH PE-HD A 2010/506 GF10 HDPE, 10% Glass Fiber Reinforced;1.01;1.6
Mocom (ALBIS) ALTECH PE-HD A 2010/550 GF10 HDPE, 10% Glass Fiber Reinforced;1.01;1.5
Mocom (ALBIS) ALTECH PE-HD A 2020/560 GF20 HDPE, 20% Glass Fiber Reinforced;1.08;2.7
Angst+Pfister APSOplast PE-LD Soft PE, high-pressure PE;0.93;0.35
Angst+Pfister APSOplast PE-HD Hard PE, low-pressure PE;0.96;0.9
Angst+Pfister APSOplast PE-HMW High-molecular hard PE;0.95;1.1
Angst+Pfister APSOplast PE-UHMW Ultra-high molecular hard PE;0.93;0.7
Angst+Pfister APSOplast PE-UHMW Regenerat Ultra-high molecular hard PE;0.94;0.7
Angst+Pfister APSOplast PE-UHMW ED Electrostatically dissipative;0.95;0.75
Angst+Pfister APSOplast PE-UHMW FR Flame-retardant;0.99;0.7
Arya Sasol LFI 2130 Low Density Polyethylene;0.921;0.15
Arya Sasol LFI 2119 Low Density Polyethylene;0.921;0.2
Arya Sasol LFI 2125A Low Density Polyethylene;0.921;0.18
Arya Sasol LFI 2185A Low Density Polyethylene;0.921;0.17
Arya Sasol LFI 2575 Low Density Polyethylene;0.925;0.2
Arya Sasol LFI 2047A Low Density Polyethylene;0.92;0.2
Arya Sasol LFI 2447A Low Density Polyethylene;0.924;0.3
Arya Sasol LIM 1922 Low Density Polyethylene;0.919;0.175
Arya Sasol HFI 5110 High Density Polyethylene;0.951;1.05
Arya Sasol MFI 3713 Medium Density Polyethylene;0.937;0.735
Arya Sasol MFI 3313 Medium Density Polyethylene;0.933;0.62
Arya Sasol HBM 5520 High Density Polyethylene;0.955;1.2
Arya Sasol HBM 5020 High Density Polyethylene;0.95;1.0
Arya Sasol HBM 4265 High Density Polyethylene;0.944;0.8
Arya Sasol HEX4460 PE80+ High Density Polyethylene;0.944;0.7
Aurora Kunststoffe AUROlen PE-HD black HDPE;0.945;0.9
Aurora Kunststoffe AUROlen PE-HD GF10 black HDPE, 10% Glass Fiber Reinforced;1.0;1.5
Aurora Kunststoffe AUROlen PE-HD GF20 black HDPE, 20% Glass Fiber Reinforced;1.06;2.2
Aurora Kunststoffe AUROlen PE-LD black LDPE;0.915;0.2
Bayport Polymers Baystar™ Lumicene mPE M3583 UV Metallocene Polyethylene Rotational Molding Resin – 35 Mesh Powder;0.935;0.641
Bayport Polymers Baystar™ Lumicene mPE M4041 UV Metallocene Polyethylene Rotational Molding Resin – Pellet Form;0.94;0.807
Borealis Bormed™ HE2581-PH HDPE for Healthcare Applications;0.958;1.3
Borealis Bormed™ HE7541-PH HDPE for Healthcare Applications;0.954;0.85
Borealis Bormed™ HE9621-PH HDPE for Healthcare Applications;0.962;1.15
Borealis Bormed™ LE6609-PH LDPE for Pharmaceutical Blow Molding;0.93;0.4
Borealis Borstar FB1350 Medium Density Polyethylene;0.935;0.57
Borealis Borstar FB3450 HDPE for Film Extrusion;0.945;0.32
Borealis Borstar FB4370 Medium Density Polyethylene;0.937;0.49
Borealis FA3227 Low Density Polyethylene;0.922;0.19
Borealis FA5223 Low Density Polyethylene;0.922;0.18
Borealis FA6220 Low Density Polyethylene;0.922;0.21
Borealis FA7220 Low Density Polyethylene;0.922;0.19
Borealis FG5223 Linear Low Density Polyethylene;0.922;0.15
Borealis FT3200 Low Density Polyethylene;0.92;0.16
Borealis FT5230 Low Density Polyethylene;0.923;0.24
Borealis MG7547S Polyethylene;0.954;0.95
CENTROPLAST CENTROLEN PE-HD Polyethylene high density;0.96;1.0
DuPont 20 Series DPE 20 Specialty Polyethylene Resin;0.92;0.186
Dow DOWLEX™ 2035 Linear Low Density Polyethylene, Cast Film Grade;0.919;0.13
Dow DOWLEX™ 2042A Linear Low Density Polyethylene, Food Grade;0.93;0.413
Dow DOWLEX™ 2049 Linear Low Density Polyethylene, Food Grade;0.926;0.33
Dow DOWLEX™ 2500 Linear Low Density Polyethylene, Narrow MW Distribution;0.925;0.21
Dow DOWLEX™ 2503 Linear Low Density Polyethylene, Narrow MW Distribution;0.93;0.273
Dow DOWLEX™ 2503.10 Linear Low Density Polyethylene, Narrow MW Distribution;0.93;0.269
Dow DOWLEX™ 2505 Linear Low Density Polyethylene, Narrow MW Distribution;0.926;0.219
Dow DOWLEX™ 2507 Linear Low Density Polyethylene, Narrow MW Distribution;0.93;0.268
Dow DOWLEX™ 2517 Linear Low Density Polyethylene, Narrow MW Distribution;0.917;0.15
Dow DOWLEX™ 2535 Linear Low Density Polyethylene, Narrow MW Distribution;0.919;0.174
Dow DOWLEX™ 2553 Linear Low Density Polyethylene, Narrow MW Distribution;0.935;0.343
Dow DOWLEX™ IP-10 High Density Polyethylene;0.962;0.717
Dow DOWLEX™ IP-10262 High Density Polyethylene;0.96;0.738
Dow DOWLEX™ IP-22 High Density Polyethylene;0.948;0.552
Dow DOWLEX™ IP-2580 Linear Low Density Polyethylene;0.933;0.327
Dow DOWLEX™ IP-40 High Density Polyethylene;0.952;0.614
Dow DOWLEX™ IP-41 High Density Polyethylene;0.956;0.696
Dow DOWLEX™ IP-42 High Density Polyethylene;0.948;0.565
Dow DOWLEX™ IP-50 High Density Polyethylene;0.95;0.565
Dow DOWLEX™ IP-60 High Density Polyethylene;0.952;0.641
Dow DOWLEX™ IP-90 High Density Polyethylene;0.95;0.621
Dow HDPE 04452N High Density Polyethylene;0.952;0.607
Dow HDPE 08454N High Density Polyethylene;0.954;0.669
Dow HDPE 10462N High Density Polyethylene;0.962;0.745
Dow HDPE 12450N High Density Polyethylene;0.952;0.559
Dow HDPE 17450N High Density Polyethylene;0.95;0.593
Dow HDPE 25455N High Density Polyethylene;0.955;0.607
Dow HDPE 30460M High Density Polyethylene;0.96;0.759
Dow HDPE 38152M High Density Polyethylene;0.952;0.627
Dow HDPE 42047N High Density Polyethylene;0.947;0.51
Dow HDPE 65053N High Density Polyethylene;0.953;0.669
Dow LDPE 4005M Low Density Polyethylene;0.916;0.172
Dow LDPE 4012M Low Density Polyethylene;0.916;0.153
Dow LDPE 5004IM Low Density Polyethylene;0.923;0.248
Dow LDPE 510I Low Density Polyethylene;0.919;0.193
Dow LDPE 640IM Low Density Polyethylene;0.921;0.164
Dow LDPE 722M Low Density Polyethylene;0.916;0.139
Dow LDPE 779I Low Density Polyethylene;0.923;0.185
Dow LDPE 955I Low Density Polyethylene;0.923;0.167
Dow LDPE 959I Low Density Polyethylene;0.923;0.155
Dow LDPE 993I Low Density Polyethylene;0.925;0.186
Ecomass 3608TU96 Tungsten Filled Polyethylene;11.0;2.35
Ecomass 3620BX18 5% Borated Polyethylene (HDPE);1.05;2.41
Ecomass 3620BX60 18% Borated Polyethylene (HDPE);1.35;2.07
NOVA Chemicals Novapol GI-2024-A LLDPE Masterbatch Resin;0.924;0.31
Eneos DFDJ-6776 LDPE for Extrusion;0.922;0.23
Eneos NUC-8323 LDPE for Extrusion;0.919;0.215
Eneos DND-2450 LDPE for Blow Molding;0.92;0.15
Eneos NUC-8321 LDPE for Blow Molding;0.922;0.175
Eneos NUCG-7641 PE;0.92;0.33
Eneos GS-650 PE;0.92;0.3
Eneos NUCG-5641 PE;0.945;0.82
Eneos DMDJ-6200NT PE;0.953;1.25
LyondellBasell Alathon H4837 High Denisty Polyethylene;0.948;0.827
LyondellBasell Alathon H 5057 High Denisty Polyethylene;0.948;0.683
LyondellBasell Alathon M 5265 High Denisty Polyethylene;0.951;0.72
LyondellBasell Alathon M 6080UV High Denisty Polyethylene;0.96;0.93
LyondellBasell Histif 5431 Z Polyethylene;0.954;1.2
LyondellBasell Lucalen G3710E Anhydride-Modified Polyethylene;0.931;0.4
LyondellBasell Lucalen A2920M Low Density Polyethylene;0.927;0.09
LyondellBasell Lucalen A2910M Low Density Polyethylene;0.927;0.084
LyondellBasell Lucalen A2540D Low Density Polyethylene;0.923;0.12
LyondellBasell Luflexen hyPE 35P FA Polyethylene;0.936;0.6
LyondellBasell Hostalen 4131B High Density Polyethylene (HDPE), Extruded;0.941;0.65
LyondellBasell Hostalen 4731B High Density Polyethylene (HDPE), Extruded;0.947;0.85
LyondellBasell Hostalen 5052B BLACK High Density Polyethylene (HDPE), Extruded;0.96;1.1
LyondellBasell Hostalen ACP 5231 D High Density Polyethylene (HDPE), Blow Molding Grade;0.952;1.1
LyondellBasell Hostalen ACP 5531 B High Density Polyethylene (HDPE), Blow Molding Grade;0.954;1.25
LyondellBasell Hostalen ACP 5831 D High Density Polyethylene (HDPE), Blow Molding Grade;0.958;1.35
LyondellBasell Hostalen ACP 6031D High Density Polyethylene (HDPE), Blow Molding Grade;0.96;1.42
LyondellBasell Hostalen ACP 7740 F1 High Density Polyethylene (HDPE), Film Grade;0.948;1.0
LyondellBasell Hostalen ACP 7740 F3 High Density Polyethylene (HDPE), Film Grade;0.946;0.9
LyondellBasell Hostalen ACP 9255 PLUS High Density Polyethylene (HDPE), Film Grade;0.957;1.35
LyondellBasell Hostalen CRP 100 BLACK High Density Polyethylene (HDPE), Sheet/Thermoforming Grade;0.959;1.1
LyondellBasell Hostalen CRP 100 RESIST CR BLACK High Density Polyethylene (HDPE), Sheet/Thermoforming Grade;0.958;1.1
LyondellBasell Hostalen GC 7260 F2 High Density Polyethylene (HDPE), Extruded;0.96;1.45
LyondellBasell Hostalen GD 9550 F High Density Polyethylene (HDPE), Film Grade;0.95;1.05
LyondellBasell Hostalen GF 7740 F2 High Density Polyethylene (HDPE), Film Grade;0.946;0.95
LyondellBasell Hostalen GF 9055 F High Density Polyethylene (HDPE), Film Grade;0.954;1.3
LyondellBasell Lupolen 1800H Low Density Polyethylene (LDPE), Blow Molding Grade;0.919;0.2
LyondellBasell Lupolen 1800P Polyethylene;0.918;0.2
LyondellBasell Lupolen 1800S Polyethylene;0.917;0.16
LyondellBasell Lupolen 1800U Polyethylene;0.918;0.18
LyondellBasell Lupolen 2420D Low Density Polyethylene (LDPE), Blown Film Grade;0.923;0.26
LyondellBasell Lupolen 2420H Low Density Polyethylene (LDPE), Film Grade;0.924;0.26
LyondellBasell Lupolen 3010D Low Density Polyethylene (LDPE), Blow Molding Grade;0.927;0.3
LyondellBasell Lupolen 3020H Low Density Polyethylene (LDPE), Blown Film Grade;0.928;0.3
LyondellBasell Lupolen 3220F Low Density Polyethylene (LDPE), Blown Film Grade;0.93;0.43
LyondellBasell Lupolen 3420J Low Density Polyethylene (LDPE), Blow Molding Grade;0.934;0.48
LyondellBasell Lupolen 3621 M RM Linear Low Density Polyethylene (LLDPE), Rotational Molding Grade;0.936;0.7
LyondellBasell Lupolen 3721C High Density Polyethylene (HDPE), Blown Film Grade;0.937;0.7
LyondellBasell Lupolen 4021 K RM High Density Polyethylene (HDPE), Rotational Molding Grade;0.939;0.75
LyondellBasell Lupolen 4261AG Q469 High Density Polyethylene (HDPE), Extruded;0.945;0.85
LyondellBasell Lupolen 4552D BLACK High Density Polyethylene (HDPE), Extruded;0.956;0.9
LyondellBasell Lupolen 5261ZS High Density Polyethylene (HDPE), Extruded;0.951;1.0
LyondellBasell Purell 2410T Linear Low Density Polyethylene (LLDPE), Blow Molding Grade;0.924;0.28
LyondellBasell Purell PE 3420F Low Density Polyethylene (LDPE);0.933;0.52
LyondellBasell Purell PE GF4760 High Density Polyethylene (HDPE), Blow Molding Grade;0.956;1.25
LyondellBasell Petrothene HR52811E Linear Medium Density Polyethylene (LMDPE), Film;0.964;0.6
LyondellBasell Petrothene LR52800E HDPE;0.95;0.9
LyondellBasell Alathon M5372 High Density Polyethylene;0.953;0.84
Eurostar Starglas FF001 HDPE, Glass Fiber Filled;1.0;1.7
Eurostar Starglas FF004 HDPE, Glass Fiber Filled;1.1;3.5
Eurostar Starglas FF006 HDPE, Glass Fiber Filled;1.18;5.8
Eurostar Starglas FX05032 PE;1.17;2.0
ExxonMobil LDPE LD 600BA Low Density Polyethylene Resin (European Grade);0.924;0.193
ExxonMobil LDPE LD 605BA Low Density Polyethylene Resin (European Grade);0.924;0.221
ExxonMobil LDPE LD 615BA Low Density Polyethylene Resin (European Grade);0.922;0.159
